laptops_href,productname,price,discount,detail_product,photo_url
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMTYzMjc0MDUzNTkzNjM0OjE2OTU4MTcxNTE6c3BfYnRmOjIwMDE2MzcxNzQ5ODc5ODo6MDo6&url=%2FHP-i3-1125G4-Quad-core-Bluetooth-Business%2Fdp%2FB0C3GY12DD%2Fref%3Dsr_1_38_sspa%3Fcrid%3D3ELSWS4OJ6GQK%26keywords%3Dlaptops%26qid%3D1695817151%26sprefix%3Dlaptop%252Caps%252C813%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"HP 17 HD+ Laptop, 2023 Newest Upgrade, Intel Core i3-1125G4 (Quad-core), 32GB RAM, 1TB SSD, Webcam, Wi-Fi, HDMI, USB-C, Fast Charge,Bluetooth, Windows 11, School and Business Ready, ROKC HDMI Cable",619,-23%,"About this item                             ?Upgraded to 32GB memory for full-power multitasking? Plenty of high-bandwidth RAM to smoothly run your games and photo- and video-editing applications, as well as multiple programs and browser tabs all at once.     ?Upgraded to 1TB SSD?Provides massive storage space for huge files, so that you can store important digital data and work your way through it with ease. It gives you enormous space to save all of your files.     ?Intel Core i3-1125G4?4-Core, 8 Threads, Base Clock 2.0GHz, Max. Boost Clock Up to 3.7GHz. Intel UHD Graphics.     ?17.3"" HD+ Display with Webcam&Mic?17.3-inch diagonal HD SVA BrightView micro-edge WLED. Webcam with Mic. Bundled with ROKC HDMI Cable.     ?Connectivity?1 SuperSpeed USB Type-C, 2 SuperSpeed USB Type-A, 1 headphone/microphone combo, 1 HDMI 1.4b, Wi-Fi, Bluetooth ?Windows 11 Home?       
                    ›  See more product details",https://m.media-amazon.com/images/I/71ZUFlO6wsL._AC_SX355_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMTYzMjc0MDUzNTkzNjM0OjE2OTU4MTcxNTE6c3BfYnRmOjIwMDEzOTk5NTUwODk5ODo6MDo6&url=%2FSAMSUNG-Computer-Processor-Fingerprint-NP750XFG-KB2US%2Fdp%2FB0BPJT2KD8%2Fref%3Dsr_1_37_sspa%3Fcrid%3D3ELSWS4OJ6GQK%26keywords%3Dlaptops%26qid%3D1695817151%26sprefix%3Dlaptop%252Caps%252C813%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"SAMSUNG 15.6” Galaxy Book3 Laptop Computer, 13th Gen Intel Core i7-1355U Processor / 16 GB / 512GB, Thin and Light, FHD Screen, Fingerprint Reader, HD Webcam, 2023 Model, NP750XFG-KB2US, Silver",799,-20%,"About this item                             ELEVATE YOUR EVERYDAY: Welcome to power, Galaxy style; Breeze through all the things you need to do with a processor that’s ready to help you take on the day\     THIN, LIGHT, PREMIUM DESIGN: Grab it and go; With a thin, lightweight design that’s made to move with you, Galaxy Book3 is always ready to help you own the day anywhere you go     BIG SCREEN / ENTERTAINMENT: Say goodbye to ordinary with a gorgeous display that brings out the best in everything you do; Crisp, bright and beautiful, your full HD screen features all the quality you expect from a Galaxy display     POWER TO POWER THROUGH: Bored with being tied to a cord? Go plug-free for hours with a powerful Galaxy battery that packs a long-lasting charge*     PORTS APLENTY: Be ready for almost any situation anywhere with plenty of ports for easy connections; They’re built in right out of the box — no need to drag around a clunky adapter     HIGH QUALITY VIDEO CAMERA: Be proud of the way you appear on video calls with an HD 720p webcam; Hear and be heard clearly with Dolby Atmos speakers and a studio-worthy mic that makes for high-quality conversations     STORAGE THAT’S EASY TO UPGRADE: You’ll have plenty of room to keep the files you need with 512GB of built-in storage; Need a little more room? Add up to 2TB of expandable storage via a microSD card**       
                           FILE TRANSFERS IN A SNAP: Easily send your files to another device with Quick Share;*** Transfer a photo or video at full resolution without compression from your Galaxy Book3 PC to your Galaxy phone, Tab or even a non-Android device  LINK TO WINDOWS: With Link to Windows,**** your Galaxy devices connect seamlessly; Transfer a call or text from your Galaxy Book3 PC to your phone***** or vice versa, when signed in to your Samsung account and have an LTE or Bluetooth connection  EXPANDABLE DISPLAY SPACE W/ 2ND SCREEN: Increase your workspace on your Galaxy Book3 PC by connecting your Tab as a second screen;****** The devices pair easily to give you more room to work or play to the max — two screens are better than one      Show more",https://m.media-amazon.com/images/I/61g-UVN2ZpL._AC_SX355_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMTYzMjc0MDUzNTkzNjM0OjE2OTU4MTcxNTE6c3BfbXRmOjIwMDA3NTgxOTM3OTI5ODo6MDo6&url=%2FHP-Business-Student-Bluetooth-Mousepad%2Fdp%2FB0B6NZL6YY%2Fref%3Dsr_1_28_sspa%3Fcrid%3D3ELSWS4OJ6GQK%26keywords%3Dlaptops%26qid%3D1695817151%26sprefix%3Dlaptop%252Caps%252C813%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"HP 2022 Newest 14"" FHD Laptop for Business and Student, AMD Ryzen3 3250U (Beat i5 7200U), 16GB RAM, 1TB SSD, Webcam, Wi-Fi, Bluetooth, HDMI, Fast Charge, Windows 11, ROKC Mousepad",449,-11%,"About this item                             ?Large memory and storage space? Smooth operation with built-in 16GB RAM; Faster data accessing speed with 1TB SSD storage, to meet your daily multitasking and storage needs.     ?AMD Ryzen 3 3250U Processor with Radeon graphics?: Responsiveperformance and modern features to simplify everyday tasks. Whether it’s games or movies, experience high performance for all your entertainment. Smooth operation with up to 32GB memory; Faster data accessing speed with up to 1TB storage, to meet your daily multitasking and storage needs.     ?High-definition display? HP 14.0-inch diagonal Full HD, SVA, BrightView, micro-edge, WLED-backlit     ?High-speed data transmission&Wifi? Use Wifi to make your download and upload speed faster; enjoy high-speed data transmission, Work efficiently under the smooth network. Start every day with confidence with a 1-year limited to protect your purchase.     ?Multiple Ports and Accessories?1 SuperSpeed USB Type-C , 2 SuperSpeed USB Type-A, 1 RJ-45, 1 Headphone/microphone combo, 1 AC Smart pin, 1 HDMI 1.4b,ROKC Mousepad     Wireless Comm Standard: 802 11 B       
                    ›  See more product details",https://m.media-amazon.com/images/I/718LT5ArsWL._AC_SX355_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMTYzMjc0MDUzNTkzNjM0OjE2OTU4MTcxNTE6c3BfbXRmOjIwMDE2NTY1NTQwOTE5ODo6MDo6&url=%2FSAMSUNG-Processor-Certified-Lightweight-NP964XFG-KC2US%2Fdp%2FB0BT74FLP1%2Fref%3Dsr_1_27_sspa%3Fcrid%3D3ELSWS4OJ6GQK%26keywords%3Dlaptops%26qid%3D1695817151%26sprefix%3Dlaptop%252Caps%252C813%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"SAMSUNG 16"" Galaxy Book3 Pro Business Laptop Computer/Windows 11 PRO / 16GB / 512GB, 13th Gen Intel® Core i5-1340P Processor, Evo Certified, Lightweight, 2023 Model, NP964XFG-KC2US, Graphite","1,449.00",,"About this item                             Premium performance: Accomplish your ambitions with the latest Intel processor and see more on a super-crisp, large 16:10 AMOLED display.     Productivity all day: Bustle through your busy day effortlessly with an ultrathin and light PC that won’t slow you down. Our longest-lasting battery and get a 40% charge in just 30 minutes     Do more, and do it more securely: Connect your Galaxy devices and expand your work possibilities. And do it all simply, securely and worry-free.     Career-accelerating speed: Newest 13th-gen Intel Core processor. Stream webinars and video conferences with ease     A screen like you’ve never seen: Stunning AMOLED screen. Super-fast 120Hz refresh for smooth scrolling display. Eye Care Display reduces blue light       
                    ›  See more product details",https://m.media-amazon.com/images/I/71pozxyNy-L._AC_SX450_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMTYzMjc0MDUzNTkzNjM0OjE2OTU4MTcxNTE6c3BfYXRmX25leHQ6MzAwMDI5OTY5NjMzMDAyOjowOjo&url=%2FHP-Chromebook-11-6-Touchscreen-Dual-core%2Fdp%2FB09JFF1S3X%2Fref%3Dsr_1_18_sspa%3Fcrid%3D3ELSWS4OJ6GQK%26keywords%3Dlaptops%26qid%3D1695817151%26sprefix%3Dlaptop%252Caps%252C813%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"HP Chromebook 11 G9 EE 11.6"" Touchscreen Chromebook - HD - 1366 x 768 - Intel Celeron N4500 Dual-core (2 Core) - 4 GB RAM - 32 GB Flash Memory",276,,"About this item                             4 GB memory seamlessly handle multiple programs together     The 11.6"" 1366 x 768 screen provides a great movie watching experience     Chrome OS gives you instant access to the internet, cloud storage, emails and all your favorite apps     12.50 Hour battery run time helps you stay unwired and work longer non-stop       
                    ›  See more product details",https://m.media-amazon.com/images/I/61KUIjmfe7L._AC_SY355_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMTYzMjc0MDUzNTkzNjM0OjE2OTU4MTcxNTE6c3BfYXRmX25leHQ6MjAwMTQ2MjIzMTMyMTk4OjowOjo&url=%2FSAMSUNG-Galaxy-Business-Computer-Windows%2Fdp%2FB0BYK9SZB8%2Fref%3Dsr_1_17_sspa%3Fcrid%3D3ELSWS4OJ6GQK%26keywords%3Dlaptops%26qid%3D1695817151%26sprefix%3Dlaptop%252Caps%252C813%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"SAMSUNG 15.6"" Galaxy Book3 Business Laptop Computer/Windows 11 PRO/16GB - 512GB/ 13th Gen Intel® Core i5-1335U Processor, 2023 Model, NP754XFG-KB2US, Silver",799,-20%,"About this item                             Secure hybrid work: Galaxy Book3 Business with Win 11 Pro helps you streamline management of your hybrid workplace while you protect data and access anywhere. Perfect for businesses, government or anywhere security is paramount.     Premium performance: Take on the day with plenty of processing power with Intel Core i5-1335U and Intel Iris Xe Graphics.     Refined style. Ready to go: Grab it and go —this thin, lightweight design helps you own the day from just about anywhere.     A sight to behold: Crisp, bright and beautiful, your full-HD screen features all the quality you expect from a Galaxy display.     Power to power through: Go plug-free for hours with a long-lasting battery, 54Wh.     Range of Ports: Be ready for almost any situation anywhere with plenty of ports for easy connections.     High Quality Video Camera: Be proud of the way you appear on video calls with an HD webcam with Dolby Atmos.     Storage that’s easy to upgrade: Have room for all your files with 512GB of built-in storage, plus up to 2TB of expandable storage.* *MicroSDcard sold separately.       
                    ›  See more product details",https://m.media-amazon.com/images/I/71IqYm24D+L._AC_SX355_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MjQ4Mjk5MjczMDQ4NjM0OjE2OTU4MTcxNDU6c3BfYnRmOjIwMDE0NTI1MTI0NDI5ODo6MDo6&url=%2FZAGG-Detachable-Bluetooth-Laptop-Style-Protection%2Fdp%2FB0B3YS4PGB%2Fref%3Dsr_1_22_sspa%3Fcrid%3D3ELSWS4OJ6GQK%26keywords%3Dlaptops%26qid%3D1695817145%26sprefix%3Dlaptop%252Caps%252C813%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"ZAGG Pro Keys Detachable Case & Wireless Keyboard with Trackpad for Apple iPad Pro 12.9 Multi Device Bluetooth Pairing, Backlit Laptop-Style Keys, Apple Pencil Holder, 6.6ft Drop Protection (Charcoal)",123,-38%,"About this item                             Bluetooth Trackpad - Bluetooth-integrated trackpad is compatible with iPadOS and can be turned on and off.     Detachable Keyboard and Case - The keyboard and case detach to accommodate different uses and environments.     Backlit, Laptop-style Keys - Pro Keys have clean, precise keystrokes. Backlighting, in seven different colors, makes typing easy in low-light conditions.     Multi-device Pairing - Connect with two devices simultaneously and toggle back and forth between them.     Three-Month Battery - With the trackpad on, the keyboard can last up to 3 months on one charge. Turning the trackpad off preserves battery life.     Keyboard Operating System: iOS",https://m.media-amazon.com/images/I/51PyVO0qRdL._AC_SY355_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MjQ4Mjk5MjczMDQ4NjM0OjE2OTU4MTcxNDU6c3BfbXRmOjIwMDEyMzgyMDYzMDM5ODo6MDo6&url=%2FAcer-Aspire-A515-56-347N-Slim-Laptop%2Fdp%2FB0BL86VM7F%2Fref%3Dsr_1_17_sspa%3Fcrid%3D3ELSWS4OJ6GQK%26keywords%3Dlaptops%26qid%3D1695817145%26sprefix%3Dlaptop%252Caps%252C813%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode,Silver",299,-21%,"About this item                             Powerful Productivity: 11th Generation Intel Core i3-1115G4 Dual Core processor delivers unmatched speed and intelligence, enabling impressive creating, productivity, and gaming experiences. With Turbo Boost Technology, get up to 4.1GHz for your high-demand applications. Connectivity Technology: Wi-Fi, Bluetooth, HDMI     Visibly Stunning: Experience sharp details and crisp colors on the 15.6"" Full HD IPS display with 82.58% screen-to-body, 16:9 aspect ratio and narrow bezels.     Ergonomic Typing: Ergonomically designed hinge lifts the keyboard for comfortable typing, improved cooling, and a better sound experience.     Internal Specifications: 8GB DDR4 on-board memory (1 slot available); 128GB NVMe solid-state drive storage (1 hard drive bay available) to store your files and media     Acer's Purified.Voice technology, features enhanced digital signal processing to cancel out background noise, improve speech accuracy and far-field pickup, which not only makes calls clearer, but makes talking to Alexa easier than before.     Using Alexa on your PC is as easy as asking a question. Just ask and Alexa can check your calendar, create lists, play music, answer questions, read the news and more.     Secure Operating System: Windows 11 Home in S mode comes with advanced security features built right in, like protections against phishing and malicious software so you don't have to think twice when navigating to a new webpage or downloading an app.       
                    ›  See more product details",https://m.media-amazon.com/images/I/71pvhTrmZDL._AC_SX355_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MjQ4Mjk5MjczMDQ4NjM0OjE2OTU4MTcxNDU6c3BfbXRmOjMwMDAwMDQ3NDMzMjgwMjo6MDo6&url=%2FLenovo-IdeaPad-Flex-5-2023-Touchscreen%2Fdp%2FB0BWSG8VDK%2Fref%3Dsr_1_12_sspa%3Fcrid%3D3ELSWS4OJ6GQK%26keywords%3Dlaptops%26qid%3D1695817145%26sprefix%3Dlaptop%252Caps%252C813%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Lenovo IdeaPad Flex 5-2023 - Touchscreen 2-in-1 Laptop - Windows 11 Home - 14"" FHD Display - 16GB Memory - 256GB Storage - AMD Ryzen 5 5500U - Abyss Blue",539,,"About this item                             DO MORE ANYWHERE, ANYTIME: With WiFi and long battery life, the Lenovo IdeaPad Flex 5 lets you do it where and for how long you want to as well.     FROM ZERO TO 360° IN A FLASH: Designed to keep your ideas flowing anywhere, anytime, with the ability to multi-mode. Use it in ‘Laptop’ mode for everyday computing, ‘Tent’ mode for sharing things, ‘Stand’ mode for binge-watching, or ‘Tablet’ mode.     CREATE TILL YOUR HEART'S CONTENT: With a digital pen (sold separately), the Lenovo IdeaPad Flex 5 lets you capture moments of inspiration or take notes on the fly. This versatility gives you the option to use your computer the way you want to use it.     PEEK-PROOF PRIVACY AT YOUR FINGERTIPS: built-in physical shutter on the webcam ensures you keep out unwanted attention when concerned about your privacy.     REDUCE THE CLUTTER: A narrow bezel on 4 sides gives you more viewing area and less clutter to interfere with the task at hand. Whether that’s at work, or play, enjoy the most out of your screen with IPS panel technology and Full High Definition.",https://m.media-amazon.com/images/I/718cys6JGoL._AC_SX355_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MjQ4Mjk5MjczMDQ4NjM0OjE2OTU4MTcxNDU6c3BfbXRmOjIwMDEyMzc4Mzc3ODg5ODo6MDo6&url=%2FSAMSUNG-Computer-Processor-Fingerprint-NP960XFG-KC1US%2Fdp%2FB0BRNNS3RN%2Fref%3Dsr_1_7_sspa%3Fcrid%3D3ELSWS4OJ6GQK%26keywords%3Dlaptops%26qid%3D1695817145%26sprefix%3Dlaptop%252Caps%252C813%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"SAMSUNG 16” Galaxy Book3 Pro Laptop Computer, 13th Gen Intel Core i7-1360P Processor / 16GB / 1TB, 3K AMOLED Screen, 120hz, Fingerprint Reader, FHD Webcam, 2023 Model, NP960XFG-KC1US, Graphite","1,420.00",-19%,"About this item                             CAREER ACCELERATING SPEED: Strivers and thrivers, this is the PC laptop for you; Accomplish your ambitions with a powerful processor that’s the latest design by Intel — ideal for fast-paced lifestyles     THIN, LIGHT, PREMIUM DESIGN: Go ahead, live that fast-paced life — Galaxy Book3 Pro won’t slow you down; Featuring a slim, lightweight design that’s made to move with you, this powerful PC is always ready to help you pursue your ambitions     A SCREEN LIKE YOU’VE NEVER SEEN: Experience jaw-dropping clarity on a 3K AMOLED display, available in two sizes (14-inch and 16-inch); See more content with a super wide 16:10 aspect ratio, the largest ever for a Galaxy     POWER TO POWER THROUGH: Get your hustle on all day long with a powerful battery; Designed for self-starters and go-getters, this long lasting charge keeps up with hardworking early birds who double as night owls     MOST ADVANCED GALAXY BOOK SECURITY: Work confidently from any location with our most advanced Galaxy Book security available; plus a fingerprint reader gives you secure and easy access to your laptop while keeping out unwanted users     PACKED WITH PORTS: From Thunderbolt 4 to USB-C to a microSD slot, the ports you need are built in right out of the box; Connect to a bigger screen or access your gaming library from an external storage device     HIGH QUALITY VIDEO CAMERA: You’ll always look like a pro with crisp, clear video calls, thanks to a full HD webcam that shoots with stunning resolution; Plus, this PC has a studio-worthy microphone and quad AKG speakers for a superb audio experience     AMAZING STORAGE. EXPANDABLE, TOO: You need lots of storage for large files when pushing to deliver your best; You’ll have plenty of space with up to 1TB of built-in storage; Need more. Add up to 2TB of expandable storage via a microSD card",https://m.media-amazon.com/images/I/61oTh3Oun5L._AC_SX355_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MjQ4Mjk5MjczMDQ4NjM0OjE2OTU4MTcxNDU6c3BfYXRmOjIwMDE0NjIyMzEzMjA5ODo6MDo6&url=%2FSAMSUNG-Galaxy-Business-Computer-Windows%2Fdp%2FB0BX7KSS8L%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3ELSWS4OJ6GQK%26keywords%3Dlaptops%26qid%3D1695817145%26sprefix%3Dlaptop%252Caps%252C813%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"SAMSUNG 15.6"" Galaxy Book3 Business Laptop Computer/Windows 11 PRO/16GB - 512GB/ 13th Gen Intel® Core i7-1355U Processor, 2023 Model, NP754XFG-KB1US, Silver",899,-18%,"About this item                             Secure hybrid work: Galaxy Book3 Business with Win 11 Pro helps you streamline management of your hybrid workplace while you protect data and access anywhere. Perfect for businesses, government or anywhere security is paramount.     Premium performance: Take on the day with plenty of processing power with Intel Core i7-1355U and Intel Iris Xe Graphics.     Refined style. Ready to go: Grab it and go —this thin, lightweight design helps you own the day from just about anywhere.     A sight to behold: Crisp, bright and beautiful, your full-HD screen features all the quality you expect from a Galaxy display.     Power to power through: Go plug-free for hours with a long-lasting battery, 54Wh.     Range of Ports: Be ready for almost any situation anywhere with plenty of ports for easy connections.     High Quality Video Camera: Be proud of the way you appear on video calls with an HD webcam with Dolby Atmos     Storage that’s easy to upgrade: Have room for all your files with 512GB of built-in storage, plus up to 2TB of expandable storage.* *MicroSDcard sold separately.       
                    ›  See more product details",https://m.media-amazon.com/images/I/71IqYm24D+L._AC_SX355_.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MjQ4Mjk5MjczMDQ4NjM0OjE2OTU4MTcxNDU6c3BfYXRmOjIwMDE2NTY1NTQwODk5ODo6MDo6&url=%2FSAMSUNG-Processor-Certified-Lightweight-NP944XFG-KC2US%2Fdp%2FB0BT6ZLPDC%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3ELSWS4OJ6GQK%26keywords%3Dlaptops%26qid%3D1695817145%26sprefix%3Dlaptop%252Caps%252C813%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"SAMSUNG 14"" Galaxy Book3 Pro Business Laptop Computer/Windows 11 PRO / 16GB / 512GB, 13th Gen Intel® Core i5-1340P Processor, Evo Certified, Lightweight, 2023 Model, NP944XFG-KC2US, Graphite","1,374.00",-5%,"About this item                             Premium performance: Accomplish your ambitions with the latest Intel processor and see more on a super-crisp, large 16:10 AMOLED display.     Productivity all day: Bustle through your busy day effortlessly with an ultrathin and light PC that won’t slow you down. Our longest-lasting battery and get a 40% charge in just 30 minutes     Do more, and do it more securely: Connect your Galaxy devices and expand your work possibilities. And do it all simply, securely and worry-free.     Career-accelerating speed: Newest 13th-gen Intel Core processor. Stream webinars and video conferences with ease     A screen like you’ve never seen: Stunning AMOLED screen. Super-fast 120Hz refresh for smooth scrolling display. Eye Care Display reduces blue light       
                    ›  See more product details",https://m.media-amazon.com/images/I/61NJFoSS0rL._AC_SX450_.jpg
